timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1754042697777,711,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-1,text,true,,26118,510,1,1,https://paa.sit.sdlc-quattrus.com/login,711,0,388
1754042698975,648,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-2,text,true,,26118,510,2,2,https://paa.sit.sdlc-quattrus.com/login,647,0,312
1754042700175,634,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-3,text,true,,26118,510,3,3,https://paa.sit.sdlc-quattrus.com/login,633,0,309
1754042701376,648,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-4,text,true,,26118,510,4,4,https://paa.sit.sdlc-quattrus.com/login,648,0,318
1754042702574,634,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-5,text,true,,26126,510,5,5,https://paa.sit.sdlc-quattrus.com/login,485,0,312
1754042703775,627,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-6,text,true,,26118,510,6,6,https://paa.sit.sdlc-quattrus.com/login,626,0,308
1754042704976,628,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-7,text,true,,26118,510,7,7,https://paa.sit.sdlc-quattrus.com/login,627,0,310
1754042706176,619,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-8,text,true,,26118,510,8,8,https://paa.sit.sdlc-quattrus.com/login,619,0,303
1754042707375,621,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-9,text,true,,26118,510,9,9,https://paa.sit.sdlc-quattrus.com/login,620,0,303
1754042708574,629,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-10,text,true,,26118,510,10,10,https://paa.sit.sdlc-quattrus.com/login,629,0,312
1754042709775,620,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-11,text,true,,26118,510,11,11,https://paa.sit.sdlc-quattrus.com/login,620,0,305
1754042710975,882,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-12,text,true,,26118,510,12,12,https://paa.sit.sdlc-quattrus.com/login,879,0,308
1754042712176,675,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-13,text,true,,26118,510,13,13,https://paa.sit.sdlc-quattrus.com/login,675,0,303
1754042713377,638,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-14,text,true,,26118,510,14,14,https://paa.sit.sdlc-quattrus.com/login,638,0,320
1754042714067,170,https://paa.sit.sdlc-quattrus.com/,200,OK,Thread Group 1-1,text,true,,23124,529,14,14,https://paa.sit.sdlc-quattrus.com/,170,0,0
1754042714574,674,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-15,text,true,,26118,510,15,15,https://paa.sit.sdlc-quattrus.com/login,673,0,325
1754042715198,167,https://paa.sit.sdlc-quattrus.com/,200,OK,Thread Group 1-2,text,true,,23129,529,15,15,https://paa.sit.sdlc-quattrus.com/,167,0,0
1754042715774,628,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-16,text,true,,26118,510,16,16,https://paa.sit.sdlc-quattrus.com/login,628,0,305
1754042716383,170,https://paa.sit.sdlc-quattrus.com/,200,OK,Thread Group 1-3,text,true,,23129,529,16,16,https://paa.sit.sdlc-quattrus.com/,170,0,0
1754042716974,633,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-17,text,true,,26118,510,17,17,https://paa.sit.sdlc-quattrus.com/login,633,0,305
