timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759171411628,756,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA CARGA 1-1,text,true,,25006,511,4,4,https://paa.sit.sdlc-quattrus.com/login,754,0,420
1759171411627,756,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA CARGA 1-1,,true,,25006,511,4,4,null,754,5,420
1759171411828,678,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA CARGA 1-2,text,true,,25006,511,4,4,https://paa.sit.sdlc-quattrus.com/login,678,0,306
1759171411827,678,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA CARGA 1-2,,true,,25006,511,4,4,null,678,1,306
1759171412029,626,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA CARGA 1-3,text,true,,25006,511,4,4,https://paa.sit.sdlc-quattrus.com/login,626,0,306
1759171412028,626,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA CARGA 1-3,,true,,25006,511,4,4,null,626,1,306
1759171412228,633,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA CARGA 1-4,text,true,,25006,511,4,4,https://paa.sit.sdlc-quattrus.com/login,633,0,307
1759171412227,633,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA CARGA 1-4,,true,,25006,511,4,4,null,633,1,307
1759171412428,626,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA CARGA 1-5,text,true,,25006,511,4,4,https://paa.sit.sdlc-quattrus.com/login,626,0,304
1759171412427,626,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA CARGA 1-5,,true,,25006,511,4,4,null,626,2,304
1759171412627,625,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA CARGA 1-6,text,true,,25006,511,4,4,https://paa.sit.sdlc-quattrus.com/login,625,0,303
1759171412626,625,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA CARGA 1-6,,true,,25006,511,4,4,null,625,2,303
1759171412827,626,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA CARGA 1-7,text,true,,25006,511,4,4,https://paa.sit.sdlc-quattrus.com/login,625,0,303
1759171412826,626,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA CARGA 1-7,,true,,25006,511,4,4,null,625,2,303
1759171413027,624,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA CARGA 1-8,text,true,,25009,511,4,4,https://paa.sit.sdlc-quattrus.com/login,474,0,305
1759171413026,624,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA CARGA 1-8,,true,,25009,511,4,4,null,474,1,305
1759171413227,686,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA CARGA 1-9,text,true,,25014,511,4,4,https://paa.sit.sdlc-quattrus.com/login,536,0,307
1759171413226,686,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA CARGA 1-9,,true,,25014,511,4,4,null,536,2,307
1759171413427,619,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA CARGA 1-10,text,true,,25009,511,4,4,https://paa.sit.sdlc-quattrus.com/login,619,0,303
1759171413427,619,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA CARGA 1-10,,true,,25009,511,4,4,null,619,0,303
1759171413627,623,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA CARGA 1-11,text,true,,25006,511,4,4,https://paa.sit.sdlc-quattrus.com/login,623,0,306
1759171413626,623,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA CARGA 1-11,,true,,25006,511,4,4,null,623,2,306
1759171413827,793,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA CARGA 1-12,text,true,,25006,511,4,4,https://paa.sit.sdlc-quattrus.com/login,784,0,304
