timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1754043221459,742,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-1,text,true,,26118,510,1,1,https://paa.sit.sdlc-quattrus.com/login,742,0,420
1754043224455,633,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-2,text,true,,26118,510,2,2,https://paa.sit.sdlc-quattrus.com/login,633,0,309
1754043227456,805,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-3,text,true,,26118,510,3,3,https://paa.sit.sdlc-quattrus.com/login,804,0,302
1754043230458,637,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-4,text,true,,26126,510,4,4,https://paa.sit.sdlc-quattrus.com/login,637,0,307
1754043233467,636,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-5,text,true,,26118,510,5,5,https://paa.sit.sdlc-quattrus.com/login,636,0,311
1754043236466,629,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-6,text,true,,26118,510,6,6,https://paa.sit.sdlc-quattrus.com/login,629,0,305
1754043237778,222,https://paa.sit.sdlc-quattrus.com/,200,OK,Thread Group 1-1,text,true,,23129,529,6,6,https://paa.sit.sdlc-quattrus.com/,222,0,0
1754043239458,631,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-7,text,true,,26121,510,7,7,https://paa.sit.sdlc-quattrus.com/login,482,0,311
1754043240665,207,https://paa.sit.sdlc-quattrus.com/,200,OK,Thread Group 1-2,text,true,,23129,529,7,7,https://paa.sit.sdlc-quattrus.com/,206,0,0
1754043242458,633,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-8,text,true,,26118,510,8,8,https://paa.sit.sdlc-quattrus.com/login,633,0,306
1754043243839,182,https://paa.sit.sdlc-quattrus.com/,200,OK,Thread Group 1-3,text,true,,23129,529,8,8,https://paa.sit.sdlc-quattrus.com/,182,0,0
1754043245470,625,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-9,text,true,,26118,510,9,9,https://paa.sit.sdlc-quattrus.com/login,625,0,306
1754043246679,185,https://paa.sit.sdlc-quattrus.com/,200,OK,Thread Group 1-4,text,true,,23129,529,9,9,https://paa.sit.sdlc-quattrus.com/,185,0,0
1754043248470,630,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-10,text,true,,26118,510,10,10,https://paa.sit.sdlc-quattrus.com/login,630,0,311
1754043249682,184,https://paa.sit.sdlc-quattrus.com/,200,OK,Thread Group 1-5,text,true,,23129,529,10,10,https://paa.sit.sdlc-quattrus.com/,184,0,0
1754043251150,188,https://paa.sit.sdlc-quattrus.com/1789,200,OK,Thread Group 1-1,text,true,,24303,533,10,10,https://paa.sit.sdlc-quattrus.com/1789,188,0,0
1754043221457,1152,PAA ,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-1,,true,,73550,1572,10,10,null,1152,28730,420
1754043251462,637,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-11,text,true,,26126,510,10,10,https://paa.sit.sdlc-quattrus.com/login,475,0,305
1754043252681,218,https://paa.sit.sdlc-quattrus.com/,200,OK,Thread Group 1-6,text,true,,23136,529,10,10,https://paa.sit.sdlc-quattrus.com/,216,0,0
1754043254019,189,https://paa.sit.sdlc-quattrus.com/1789,200,OK,Thread Group 1-2,text,true,,24298,533,10,10,https://paa.sit.sdlc-quattrus.com/1789,189,0,0
1754043224454,1029,PAA ,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-2,,true,,73545,1572,10,10,null,1028,28726,309
1754043254473,635,https://paa.sit.sdlc-quattrus.com/login,200,OK,Thread Group 1-12,text,true,,26118,510,10,10,https://paa.sit.sdlc-quattrus.com/login,634,0,318
1754043255672,184,https://paa.sit.sdlc-quattrus.com/,200,OK,Thread Group 1-7,text,true,,23129,529,10,10,https://paa.sit.sdlc-quattrus.com/,184,0,0
