timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753997171231,1248,https://paa.sit.sdlc-quattrus.com/,200,OK,Teste PAA 1-1,text,true,,23239,505,1,1,https://paa.sit.sdlc-quattrus.com/,1242,0,870
1753997171176,1248,Dashboard,200,"Number of samples in transaction : 1, number of failing samples : 0",Teste PAA 1-1,,true,,23239,505,1,1,null,1242,61,870
1753997172486,249,https://api-paa.sit.sdlc-quattrus.com/api/v1/Summary/paa,200,OK,Teste PAA 1-1,text,true,,23129,533,1,1,https://paa.sit.sdlc-quattrus.com/,248,0,0
1753997172735,172,https://api-paa.sit.sdlc-quattrus.com/api/v1/Summary/paa,200,OK,Teste PAA 1-1,text,true,,23129,529,1,1,https://paa.sit.sdlc-quattrus.com/,171,0,0
1753997172908,176,https://api-paa.sit.sdlc-quattrus.com/api/v1/Summary/paa/stages,200,OK,Teste PAA 1-1,text,true,,23129,529,1,1,https://paa.sit.sdlc-quattrus.com/,170,0,0
1753997172485,597,Novo PAA,200,"Number of samples in transaction : 3, number of failing samples : 0",Teste PAA 1-1,,true,,69387,1591,1,1,null,589,3,0
1753997173085,0,Projeto e PAA,200,"Number of samples in transaction : 0, number of failing samples : 0",,,true,,0,0,0,0,null,0,0,0
1753997173085,169,https://api-paa.sit.sdlc-quattrus.com/api/v1/Summary/paa/projects ,200,OK,Teste PAA 1-1,text,true,,23129,529,2,2,https://paa.sit.sdlc-quattrus.com/,168,0,0
1753997173255,171,https://api-paa.sit.sdlc-quattrus.com/api/v1/Paa/newPaa,200,OK,Teste PAA 1-1,text,true,,23136,533,2,2,https://paa.sit.sdlc-quattrus.com/,169,0,0
1753997173175,651,https://paa.sit.sdlc-quattrus.com/,200,OK,Teste PAA 1-2,text,true,,23231,505,1,1,https://paa.sit.sdlc-quattrus.com/,650,0,327
1753997173174,651,Dashboard,200,"Number of samples in transaction : 1, number of failing samples : 0",Teste PAA 1-2,,true,,23231,505,1,1,null,650,2,327
1753997173828,168,https://api-paa.sit.sdlc-quattrus.com/api/v1/Summary/paa,200,OK,Teste PAA 1-2,text,true,,23129,533,1,1,https://paa.sit.sdlc-quattrus.com/,168,0,0
1753997173997,172,https://api-paa.sit.sdlc-quattrus.com/api/v1/Summary/paa,200,OK,Teste PAA 1-2,text,true,,23136,529,1,1,https://paa.sit.sdlc-quattrus.com/,170,0,0
1753997174170,172,https://api-paa.sit.sdlc-quattrus.com/api/v1/Summary/paa/stages,200,OK,Teste PAA 1-2,text,true,,23129,529,1,1,https://paa.sit.sdlc-quattrus.com/,172,0,0
1753997173827,512,Novo PAA,200,"Number of samples in transaction : 3, number of failing samples : 0",Teste PAA 1-2,,true,,69394,1591,1,1,null,510,4,0
1753997174343,0,Projeto e PAA,200,"Number of samples in transaction : 0, number of failing samples : 0",,,true,,0,0,0,0,null,0,0,0
1753997174343,170,https://api-paa.sit.sdlc-quattrus.com/api/v1/Summary/paa/projects ,200,OK,Teste PAA 1-2,text,true,,23129,529,1,1,https://paa.sit.sdlc-quattrus.com/,170,0,0
1753997174515,170,https://api-paa.sit.sdlc-quattrus.com/api/v1/Paa/newPaa,200,OK,Teste PAA 1-2,text,true,,23129,533,1,1,https://paa.sit.sdlc-quattrus.com/,170,0,0
1753997175174,637,https://paa.sit.sdlc-quattrus.com/,200,OK,Teste PAA 1-3,text,true,,23236,505,1,1,https://paa.sit.sdlc-quattrus.com/,636,0,318
1753997175173,637,Dashboard,200,"Number of samples in transaction : 1, number of failing samples : 0",Teste PAA 1-3,,true,,23236,505,1,1,null,636,2,318
1753997175813,168,https://api-paa.sit.sdlc-quattrus.com/api/v1/Summary/paa,200,OK,Teste PAA 1-3,text,true,,23131,533,1,1,https://paa.sit.sdlc-quattrus.com/,168,0,0
1753997175982,174,https://api-paa.sit.sdlc-quattrus.com/api/v1/Summary/paa,200,OK,Teste PAA 1-3,text,true,,23129,529,1,1,https://paa.sit.sdlc-quattrus.com/,174,0,0
1753997176157,168,https://api-paa.sit.sdlc-quattrus.com/api/v1/Summary/paa/stages,200,OK,Teste PAA 1-3,text,true,,23129,529,1,1,https://paa.sit.sdlc-quattrus.com/,168,0,0
1753997175812,510,Novo PAA,200,"Number of samples in transaction : 3, number of failing samples : 0",Teste PAA 1-3,,true,,69389,1591,1,1,null,510,4,0
1753997176326,0,Projeto e PAA,200,"Number of samples in transaction : 0, number of failing samples : 0",,,true,,0,0,0,0,null,0,0,0
1753997176326,171,https://api-paa.sit.sdlc-quattrus.com/api/v1/Summary/paa/projects ,200,OK,Teste PAA 1-3,text,true,,23129,529,1,1,https://paa.sit.sdlc-quattrus.com/,171,0,0
1753997176498,181,https://api-paa.sit.sdlc-quattrus.com/api/v1/Paa/newPaa,200,OK,Teste PAA 1-3,text,true,,23129,533,1,1,https://paa.sit.sdlc-quattrus.com/,180,0,0
1753997177174,639,https://paa.sit.sdlc-quattrus.com/,200,OK,Teste PAA 1-4,text,true,,23243,505,1,1,https://paa.sit.sdlc-quattrus.com/,482,0,314
1753997177173,639,Dashboard,200,"Number of samples in transaction : 1, number of failing samples : 0",Teste PAA 1-4,,true,,23243,505,1,1,null,482,2,314
1753997177814,171,https://api-paa.sit.sdlc-quattrus.com/api/v1/Summary/paa,200,OK,Teste PAA 1-4,text,true,,23129,533,1,1,https://paa.sit.sdlc-quattrus.com/,171,0,0
1753997177986,164,https://api-paa.sit.sdlc-quattrus.com/api/v1/Summary/paa,200,OK,Teste PAA 1-4,text,true,,23129,529,1,1,https://paa.sit.sdlc-quattrus.com/,164,0,0
1753997178151,175,https://api-paa.sit.sdlc-quattrus.com/api/v1/Summary/paa/stages,200,OK,Teste PAA 1-4,text,true,,23129,529,1,1,https://paa.sit.sdlc-quattrus.com/,175,0,0
1753997177814,510,Novo PAA,200,"Number of samples in transaction : 3, number of failing samples : 0",Teste PAA 1-4,,true,,69387,1591,1,1,null,510,3,0
1753997178327,0,Projeto e PAA,200,"Number of samples in transaction : 0, number of failing samples : 0",,,true,,0,0,0,0,null,0,0,0
1753997178327,179,https://api-paa.sit.sdlc-quattrus.com/api/v1/Summary/paa/projects ,200,OK,Teste PAA 1-4,text,true,,23129,529,1,1,https://paa.sit.sdlc-quattrus.com/,178,0,0
1753997178507,171,https://api-paa.sit.sdlc-quattrus.com/api/v1/Paa/newPaa,200,OK,Teste PAA 1-4,text,true,,23129,533,1,1,https://paa.sit.sdlc-quattrus.com/,170,0,0
1753997179173,626,https://paa.sit.sdlc-quattrus.com/,200,OK,Teste PAA 1-5,text,true,,23236,505,1,1,https://paa.sit.sdlc-quattrus.com/,626,0,311
1753997179172,626,Dashboard,200,"Number of samples in transaction : 1, number of failing samples : 0",Teste PAA 1-5,,true,,23236,505,1,1,null,626,2,311
1753997179801,167,https://api-paa.sit.sdlc-quattrus.com/api/v1/Summary/paa,200,OK,Teste PAA 1-5,text,true,,23129,533,1,1,https://paa.sit.sdlc-quattrus.com/,167,0,0
