timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759171845965,632,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA Estresse 1-1,text,true,,25006,511,7,7,https://paa.sit.sdlc-quattrus.com/login,630,0,309
1759171845964,632,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA Estresse 1-1,,true,,25006,511,7,7,null,630,2,309
1759171846066,627,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA Estresse 1-2,text,true,,25006,511,7,7,https://paa.sit.sdlc-quattrus.com/login,627,0,304
1759171846065,627,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA Estresse 1-2,,true,,25006,511,7,7,null,627,1,304
1759171846166,636,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA Estresse 1-3,text,true,,25006,511,7,7,https://paa.sit.sdlc-quattrus.com/login,635,0,302
1759171846166,636,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA Estresse 1-3,,true,,25006,511,7,7,null,635,0,302
1759171846264,625,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA Estresse 1-4,text,true,,25006,511,7,7,https://paa.sit.sdlc-quattrus.com/login,624,0,303
1759171846263,625,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA Estresse 1-4,,true,,25006,511,7,7,null,624,1,303
1759171846364,622,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA Estresse 1-5,text,true,,25014,511,7,7,https://paa.sit.sdlc-quattrus.com/login,472,0,303
1759171846363,622,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA Estresse 1-5,,true,,25014,511,7,7,null,472,2,303
1759171846464,625,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA Estresse 1-6,text,true,,25006,511,7,7,https://paa.sit.sdlc-quattrus.com/login,624,0,301
1759171846464,625,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA Estresse 1-6,,true,,25006,511,7,7,null,624,0,301
1759171846565,623,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA Estresse 1-7,text,true,,25006,511,7,7,https://paa.sit.sdlc-quattrus.com/login,623,0,303
1759171846564,623,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA Estresse 1-7,,true,,25006,511,7,7,null,623,2,303
1759171846665,622,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA Estresse 1-8,text,true,,25006,511,7,7,https://paa.sit.sdlc-quattrus.com/login,622,0,302
1759171846664,622,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA Estresse 1-8,,true,,25006,511,7,7,null,622,2,302
1759171846764,622,https://paa.sit.sdlc-quattrus.com/login,200,OK,PAA Estresse 1-9,text,true,,25006,511,7,7,https://paa.sit.sdlc-quattrus.com/login,621,0,302
1759171846764,622,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",PAA Estresse 1-9,,true,,25006,511,7,7,null,621,0,302
